trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-157.24279942990614,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-52.77172104698425,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-140.10636357333604,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-163.5372104635516,"{0: 17, 1: 2, 2: 6, 3: 4, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,12,-12.117060038347848,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,2,-79.82130833230664,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-14.26697899288213,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-116.64145881472444,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-36.8595816702296,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-162.99427693328815,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-176.9909337550521,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,-3.69143942535295,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-53.851254683706344,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-19.65120093228167,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,0,-96.13955020711126,"{0: 24, 1: 1, 2: 2, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-98.21937779581101,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-5.244022036233231,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-2.2510915441278563,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,24.582186309837038,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,12,13.264495809516415,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",30,18,18.340737300994313,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,0,15.65230125949696,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-26.772592309261796,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",30,14,-18.406277963489064,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-52.155400200192126,"{0: 21, 1: 1, 2: 0, 3: 2, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,-21.169478301915653,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",25,17,14.939909786980563,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-11.462716871048421,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,5,21.393363228056092,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-63.90568139192355,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
