trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999995500003375}",20,0,-104.23040532176303,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.999982000054}",30,0,-282.41354000056276,"{0: 14, 1: 0, 2: 11, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.9999595002733742}",20,0,-96.14228102102261,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9999280008639958}",30,0,-87.17158175297159,"{0: 21, 1: 0, 2: 7, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9998875021093592}",20,11,-50.1119605993554,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 1}",1
6,False,"{'a': 0.5, 'e': 0.9998380043739528}",20,0,-70.3292150192083,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9997795081032559}",25,0,-145.67627837590115,"{0: 14, 1: 1, 2: 6, 3: 3, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9997120138237345}",35,0,-179.8986780863116,"{0: 21, 1: 4, 2: 6, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9996355221428369}",20,0,-14.226637113339864,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9995500337489875}",30,0,-85.3492494855062,"{0: 22, 1: 1, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9994555494115813}",25,0,-178.20779447720886,"{0: 14, 1: 2, 2: 4, 3: 3, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.9993520699809768}",20,0,-21.903567484945214,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.999239596388488}",20,0,-128.26533762904253,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9991181296463766}",25,0,-185.81287233551458,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.9989876708478425}",35,0,-234.9271513350435,"{0: 15, 1: 4, 2: 13, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9988482211670138}",20,0,-146.40293377606355,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",1
17,False,"{'a': 0.5, 'e': 0.9986997818589368}",30,13,-80.84002546044374,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9985423542595644}",25,0,-134.6791855235989,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.9983759397857438}",20,0,-87.42613549231962,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
20,False,"{'a': 0.5, 'e': 0.9982005399352042}",25,0,-146.8280802246678,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9980161562865429}",20,0,-29.511534922115516,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.9978227904992117}",30,0,-91.42416812382837,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.9976204443135014}",20,9,-92.95309247992599,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
