trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.553370528651925,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-84.49318869132654,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-140.48259607906516,"{0: 14, 1: 1, 2: 8, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-118.09610284899172,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.074048066458126,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,2,-91.19221263525331,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 1}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-63.90171922377952,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.72547894096883,"{0: 13, 1: 7, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-55.71130877995527,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-93.81873542532809,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.11172376782736,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-90.51216029953989,"{0: 25, 1: 5, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.6235854818603,"{0: 12, 1: 4, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",35,0,-137.5729427513438,"{0: 20, 1: 4, 2: 8, 3: 3, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,6,-71.40197966536876,"{0: 8, 1: 1, 2: 4, 3: 0, 4: 1}",1
16,False,"{'a': 0.5, 'e': 1.0}",30,9,-165.8856550951795,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 4}",1
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-220.98003096541302,"{0: 13, 1: 2, 2: 12, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,4,-72.52307246638425,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 1}",1
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-137.87947203868532,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-139.9075261005979,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-90.65620961992502,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-244.3970135684712,"{0: 5, 1: 2, 2: 8, 3: 2, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.40821594287641,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-84.19336265137878,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-141.90150868509454,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-79.65668670287563,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-72.5588686034443,"{0: 21, 1: 1, 2: 1, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.11384288103103,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-91.79740054354775,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.04214688824509,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
